wolfCount,wolfEnergy,wolfRepro,wolfFatigue,rabbitCount,rabbitEnergy,rabbitRepro,rabbitFatigue,grassCount,grassEnergy,grassRepro,grassFatigue
268,442.2,1017.4,7.1,68,762.9,917.3,5.5,2312,338.8,128.1,5.4
270,443.7,1017.4,7.1,69,743.2,917.2,5.5,2348,341.0,128.2,5.4
272,445.3,1017.5,7.1,72,747.6,917.3,5.4,2377,343.0,128.1,5.4
274,445.3,1017.5,7.1,77,762.6,917.7,5.4,2429,341.4,128.1,5.5
278,444.2,1017.5,7.1,75,801.9,917.8,5.4,2459,342.1,128.1,5.5
274,452.2,1017.5,7.1,85,773.7,918.1,5.4,2491,344.4,128.2,5.5
275,454.2,1017.5,7.1,87,783.1,918.2,5.5,2527,345.3,128.2,5.6
278,446.1,1017.6,7.1,96,776.1,918.5,5.5,2560,346.9,128.2,5.6
281,450.9,1017.6,7.1,100,759.4,918.5,5.5,2594,348.5,128.2,5.6
284,448.0,1017.6,7.1,109,748.7,918.8,5.5,2628,349.9,128.1,5.6
286,459.0,1017.7,7.1,110,736.0,918.9,5.5,2649,352.5,128.1,5.7
292,446.9,1017.8,7.2,120,735.0,919.5,5.5,2669,355.9,128.1,5.7
294,452.4,1017.8,7.2,119,745.5,919.8,5.5,2690,359.7,128.1,5.7
299,451.6,1017.8,7.2,125,721.5,919.8,5.5,2697,364.9,128.0,5.7
296,462.7,1017.8,7.2,128,729.1,919.9,5.4,2704,369.9,128.0,5.7
293,478.1,1017.9,7.2,129,731.2,920.1,5.4,2735,372.3,128.0,5.7
299,465.8,1017.9,7.2,136,733.3,920.1,5.4,2744,377.8,128.0,5.7
304,473.9,1018.0,7.2,131,719.2,920.4,5.4,2760,382.8,128.0,5.7
304,483.0,1018.0,7.2,129,735.6,920.4,5.4,2773,386.7,128.0,5.7
310,482.5,1018.0,7.2,121,740.3,920.5,5.4,2811,388.8,127.9,5.7
313,488.8,1018.0,7.2,115,730.4,920.7,5.4,2849,390.9,128.0,5.8
319,488.4,1018.1,7.2,107,746.5,920.8,5.4,2883,392.9,128.0,5.8
324,493.3,1018.1,7.2,98,747.3,921.1,5.4,2915,396.0,128.0,5.8
327,505.6,1018.1,7.2,88,739.1,921.1,5.4,2955,397.6,128.0,5.8
