rabbitCount,rabbitEnergy,rabbitRepro,rabbitFatigue,grassCount,grassEnergy,grassRepro,grassFatigue,wolfCount,wolfEnergy,wolfRepro,wolfFatigue
18,193.7,341.4,5.5,4226,382.9,126.5,6.0,123,339.2,671.6,5.5
22,225.8,340.6,5.5,4276,387.6,126.5,6.0,121,342.5,671.6,5.5
28,219.9,340.7,5.5,4340,391.0,126.5,6.0,121,339.8,671.6,5.5
32,283.1,340.6,5.5,4426,392.2,126.5,6.0,119,343.6,671.5,5.4
38,261.9,340.3,5.5,4459,398.0,126.5,6.0,119,345.7,671.5,5.4
51,208.5,340.1,5.5,4512,401.7,126.5,6.0,118,348.8,671.5,5.5
62,194.9,339.8,5.4,4567,405.2,126.5,6.0,120,339.4,671.6,5.4
68,199.2,340.4,5.4,4581,411.6,126.4,6.0,120,344.2,671.6,5.4
72,176.0,340.1,5.4,4625,416.3,126.3,6.0,122,343.8,671.6,5.5
78,164.5,340.2,5.4,4699,418.6,126.3,6.1,121,349.7,671.6,5.5
81,183.5,340.5,5.4,4723,424.7,126.2,6.1,123,345.0,671.7,5.5
84,186.1,340.1,5.4,4766,429.3,126.2,6.1,124,345.3,671.7,5.5
88,166.4,340.3,5.4,4812,433.8,126.1,6.1,124,350.6,671.7,5.5
87,172.3,340.4,5.4,4856,438.8,126.0,6.1,126,347.7,671.7,5.5
96,149.4,340.2,5.4,4904,444.1,126.0,6.1,126,346.8,671.7,5.5
100,155.2,340.1,5.4,4949,449.2,126.0,6.1,126,345.9,671.7,5.5
106,135.6,340.1,5.5,4982,455.4,125.9,6.1,126,350.8,671.7,5.5
98,141.5,340.3,5.5,5041,459.7,125.9,6.1,126,354.1,671.7,5.5
90,139.0,340.6,5.5,5115,463.2,125.9,6.1,127,351.8,671.7,5.5
86,138.6,340.7,5.5,5176,468.0,125.9,6.1,126,353.6,671.7,5.5
78,141.3,340.6,5.5,5254,471.4,125.9,6.1,126,353.4,671.7,5.5
72,139.8,340.9,5.4,5348,473.5,126.0,6.1,126,353.8,671.7,5.5
67,141.4,341.1,5.5,5412,478.2,126.0,6.1,127,349.5,671.7,5.5
62,146.4,341.2,5.5,5492,481.6,126.0,6.2,127,347.7,671.7,5.5
57,150.4,341.3,5.5,5582,484.2,126.0,6.2,127,346.4,671.7,5.5
53,155.7,341.1,5.4,5656,488.2,126.0,6.2,126,347.3,671.7,5.5
52,148.0,341.1,5.4,5732,492.1,126.1,6.2,125,349.3,671.7,5.5
51,142.3,341.1,5.4,5825,494.6,126.1,6.2,126,344.6,671.7,5.5
49,135.6,341.0,5.4,5894,499.1,126.1,6.2,126,344.1,671.7,5.5
47,135.9,341.0,5.4,5971,503.0,126.2,6.2,126,342.1,671.7,5.5
