rabbitCount,rabbitEnergy,rabbitRepro,rabbitFatigue,grassCount,grassEnergy,grassRepro,grassFatigue,wolfCount,wolfEnergy,wolfRepro,wolfFatigue
98,84.7,135.2,6.1,33,100.0,123.3,1.5,13,354.6,650.8,31.5
94,79.1,134.2,6.1,45,90.6,124.0,1.7,13,386.9,650.8,31.5
90,77.2,134.4,6.0,49,93.7,124.7,1.8,14,364.8,650.8,31.6
85,77.5,134.6,6.0,51,96.9,125.2,1.7,14,362.4,650.8,31.6
79,76.8,134.3,6.0,55,98.2,125.8,1.8,15,349.9,650.8,31.7
73,74.8,133.6,5.9,59,96.5,125.5,1.6,15,364.6,650.8,31.7
74,75.8,132.7,5.8,52,101.5,127.4,1.5,14,379.6,650.9,31.6
74,71.1,132.1,5.8,64,99.1,127.9,1.4,14,381.4,650.9,31.6
68,70.7,131.0,5.8,66,95.8,126.8,1.8,14,384.4,650.9,31.6
71,69.1,130.9,5.9,72,101.4,127.0,1.6,14,358.6,650.9,31.6
67,66.5,130.8,5.8,78,104.3,127.7,1.5,14,365.7,650.9,31.6
68,72.3,131.6,5.9,84,100.3,128.1,1.6,14,350.8,650.8,32.2
67,77.9,131.3,5.9,87,100.1,128.1,1.7,14,336.9,650.8,32.2
72,77.5,131.5,6.0,88,103.8,129.2,1.8,14,325.0,650.8,32.2
68,87.1,131.7,5.9,83,101.6,128.2,1.8,14,324.0,650.8,32.2
78,76.7,132.3,6.0,91,100.3,128.3,1.8,16,279.2,650.8,31.9
83,82.9,132.7,6.1,92,101.3,128.6,1.5,16,259.5,650.8,31.9
82,79.0,131.7,6.1,96,105.2,129.2,1.7,15,292.2,650.9,31.8
79,79.5,131.7,6.1,99,109.5,129.9,1.6,15,288.4,650.9,31.8
80,77.7,131.5,6.2,102,108.9,129.7,1.8,15,288.5,650.9,31.8
77,73.8,132.0,6.2,99,110.4,129.8,2.0,16,284.0,651.0,31.9
72,77.5,132.7,6.2,101,109.9,129.9,2.2,16,278.1,651.0,31.9
67,74.5,133.7,6.4,118,110.8,130.3,2.0,16,273.1,651.0,31.9
64,81.8,135.1,6.4,122,112.0,130.8,1.9,15,280.1,651.1,31.3
66,74.2,135.2,6.5,123,115.4,131.3,2.1,14,312.7,651.1,31.2
66,76.8,136.0,6.5,117,118.2,131.4,2.1,14,329.1,651.1,31.3
66,82.4,137.0,6.6,117,118.2,131.1,2.1,12,378.5,651.4,30.9
68,94.0,138.1,6.6,127,111.2,131.3,2.2,13,325.8,651.5,30.5
81,90.0,139.2,6.7,129,112.5,130.3,2.0,13,335.8,651.5,30.5
76,91.7,139.0,6.6,118,113.2,130.8,2.1,14,363.6,651.5,30.2
82,93.9,138.8,6.6,114,112.0,130.8,2.2,14,361.5,651.5,30.2
75,102.6,139.5,6.7,113,107.4,130.5,2.2,14,396.0,651.5,30.2
